date,新综指,沪深300,上证指数,机械设备,汽车,非银金融,银行,通信,传媒,计算机,国防军工,电气设备,建筑装饰,建筑材料,综合,休闲服务,商业贸易,房地产,交通运输,公用事业,医药生物,轻工制造,纺织服装,食品饮料,家用电器,电子,有色金属,钢铁,化工,采掘,农林牧渔
2019/7/19,0.7946,1.0496,0.7936,0.8503,0.785,1.7797,1.2544,-0.1117,0.5198,0.5368,0.0597,0.6565,0.5949,0.4314,1.316,0.6958,0.7124,2.2774,1.2296,0.8118,0.1808,0.6386,0.3133,0.7345,-0.0359,0.1443,1.4962,0.3884,0.0102,0.864,1.0048
2019/7/22,-1.2737,-0.6899,-1.273,-2.3118,-1.9833,-1.5871,-0.2906,-2.653,-2.936,-2.242,-3.4759,-1.4159,-1.7106,-1.8286,-2.8274,0.2526,-2.1649,-0.9784,-1.1342,-1.5563,-1.3811,-2.3503,-2.1613,-0.1279,-0.4879,-1.3051,-3.9397,-1.7977,-2.3035,-1.511,-3.1464
2019/7/23,0.4503,0.2176,0.4493,1.0767,1.1075,0.0681,0.1727,1.5484,1.173,1.8244,1.6466,1.6555,0.8932,0.2457,1.0913,-0.3031,1.4789,-1.0987,0.3372,0.7982,0.7237,0.6729,0.7736,-0.9579,0.8049,2.1588,0.2278,0.7245,1.1785,0.6652,0.7093
2019/7/24,0.8054,0.7894,0.8046,1.3276,1.2161,1.2625,0.5856,2.2513,0.8708,1.8646,1.5726,1.064,0.6795,0.5113,1.0036,0.3273,0.6897,0.1493,0.6903,0.5234,0.8049,1.3957,1.258,-0.071,0.6401,2.3323,1.0547,0.4757,1.01,1.1344,0.7533
2019/7/25,0.484,0.8177,0.4818,0.05,-0.0064,0.5208,1.4903,0.6704,0.2639,0.7993,0.4786,0.3427,-0.0843,0.2685,-0.1533,1.1168,0.1108,0.1921,0.6799,0.0289,0.2838,0.5242,-0.0492,1.1945,0.3745,2.5247,-0.7226,-0.0996,-0.2568,-0.1193,1.1565
2019/7/26,0.2443,0.1948,0.2445,1.0235,0.2183,0.0675,-0.0793,0.0434,-0.0779,-0.3606,1.0821,0.3493,0.2517,0.9763,-0.0621,1.0094,0.1866,0.0484,0.9106,0.4299,0.6932,0.2506,-0.0911,0.0567,0.1448,0.0647,-0.4412,-0.2287,0.07,-0.0634,-0.9655
2019/7/29,-0.1192,-0.1114,-0.12,-0.3649,-0.0939,-1.0882,-0.1172,0.4649,-0.2756,-0.1907,0.5751,-0.007,-0.0794,-0.2765,-0.1494,0.4553,-0.5403,-0.5231,-0.2768,0.3052,-0.6006,-0.0161,-0.1046,0.8709,-0.2932,1.1831,-0.189,-0.6032,0.0513,-0.3289,1.7198
2019/7/30,0.3862,0.4163,0.3853,0.3815,0.5933,1.0676,0.4443,0.0514,2.1319,0.347,-0.1931,0.1961,0.364,0.0194,0.8778,0.1263,0.3554,0.5674,0.0391,0.2591,0.5731,0.3335,0.1353,-0.3265,1.252,-0.9753,1.0592,0.572,0.6008,0.7437,0.2149
2019/7/31,-0.668,-0.9033,-0.6718,-0.5238,-0.9178,-1.3317,-0.7646,-0.2575,-0.7936,-0.449,0.3102,-0.5424,-1.3419,-1.981,-1.2287,0.0159,-0.3136,-2.4117,-0.6388,-0.355,-0.5981,-0.755,-0.4357,-1.4622,-0.495,0.0131,-0.0612,-0.6433,-0.679,-0.2908,-0.3255
2019/8/1,-0.8082,-0.8314,-0.8095,-0.1278,-0.7513,-0.9064,-0.8897,-0.4411,-0.265,-0.3078,-1.3528,-0.4792,-0.7241,-0.7755,-0.3375,-0.7397,-1.1299,-1.5438,-0.9947,-0.1068,-0.7341,-0.9338,-0.5587,-1.2378,-1.7491,0.0333,-0.9335,-1.1036,0.0084,-0.8916,1.7693
2019/8/2,-1.4077,-1.4732,-1.4071,-1.8417,-1.8275,-2.5199,-1.1703,-2.545,-1.6383,-1.6009,-2.0103,-1.2546,-1.4503,-1.6057,-1.1328,-0.0191,-1.3763,-1.5389,-1.5495,-1.215,-1.0233,-1.4098,-1.4078,-0.7169,-1.6081,-2.4275,0.8941,-1.1206,-1.6054,-1.955,0.2584
2019/8/5,-1.61,-1.9146,-1.6159,-1.6749,-2.002,-1.9471,-1.8282,-0.9564,-1.946,-1.1361,-0.5964,-1.4148,-1.5278,-1.8409,-1.8967,-3.431,-1.0405,-2.3331,-2.0879,-1.3596,-1.7848,-1.067,-0.1108,-1.6095,-1.5988,-1.6384,1.0301,-1.5842,-1.7585,-1.7868,0.1511
2019/8/6,-1.5573,-1.0708,-1.5573,-2.316,-2.4549,-0.5015,-1.0619,-2.4594,-2.5161,-2.7454,-2.1003,-2.3187,-2.4747,-1.1338,-2.7516,-1.4119,-2.3831,-1.3176,-2.1588,-2.0383,-1.3091,-2.6968,-2.3453,-0.4393,-2.0688,-1.6595,-2.4847,-3.2501,-2.9211,-2.7479,-1.7348
2019/8/7,-0.3207,-0.4097,-0.3196,-0.5457,-0.3941,-1.3759,-0.2909,-0.8622,-0.8585,-1.385,-1.5316,-0.4203,-0.6301,-0.1953,-0.1332,-0.2672,-0.3653,0.5314,-0.96,0.3859,0.4841,0.0726,0.2345,-0.4275,-0.782,-1.2258,3.583,0.0218,-0.1395,0.7643,-0.8623
2019/8/8,0.9341,1.3216,0.9345,0.2974,1.3412,1.2658,1.7271,1.0995,1.0651,0.8577,2.5171,0.4431,0.5248,0.5687,0.9748,1.2596,0.5412,0.0519,0.4133,0.8073,1.4754,0.5548,0.4507,1.6484,1.0446,2.0194,-0.6141,0.4928,0.965,0.021,0.5222
2019/8/9,-0.7074,-0.9747,-0.7085,-0.9215,-0.8483,-0.848,-0.156,-3.077,-0.9563,-1.4477,-2.0955,-1.1304,-0.8221,-1.304,-0.9143,-0.7645,-0.7109,-1.4349,-0.7213,-0.9948,-0.2521,-0.9582,-1.3041,-1.3224,-1.3972,-1.3192,-0.8359,-0.3621,-1.354,-0.9917,-3.1846
2019/8/12,1.4512,1.8047,1.4503,1.7606,1.1674,2.3396,1.1274,2.829,1.9876,2.6399,1.2236,1.67,1.0085,0.8971,1.4137,0.7071,0.9503,1.6624,1.1868,0.8212,1.3783,1.0902,0.859,3.4441,0.6865,4.833,-0.6763,0.5779,1.4199,1.3187,1.3234
2019/8/13,-0.6287,-0.9017,-0.63,-1.0228,-1.2686,-1.5863,-1.0894,-0.8373,-1.0666,-1.2489,-0.0808,-0.671,-1.1158,-1.5012,-0.5312,-1.3625,-0.8229,-0.929,-0.0407,-0.3093,0.0273,-0.0116,-0.3799,-0.2611,-0.4276,-0.4873,1.2892,-0.8512,-0.6086,-0.9636,-1.1991
2019/8/14,0.4169,0.4542,0.4167,0.3695,0.7038,0.0662,-0.2365,0.5689,0.4197,0.7973,1.4532,0.2391,0.1594,0.5321,0.8674,1.7006,0.6902,-0.0299,0.3536,0.5869,1.4725,0.6927,0.4213,1.8418,0.2099,0.8746,-0.7137,0.2602,0.7104,0.6331,-0.5003
2019/8/15,0.2475,0.315,0.245,0.0122,0.4092,0.6435,-0.0746,1.0517,0.6629,1.809,0,0.7169,-0.177,0.349,0.0852,-0.9201,0.1373,0.015,-0.0468,0.1629,0.7744,0.4898,-0.2488,-0.0119,-0.4636,1.8382,-0.3251,0.2016,0.1369,-0.4631,-0.3619
