证券代码,证券名称,首发上市日期,相对大盘区间涨跌幅3月前,相对大盘区间涨跌幅6月前,相对大盘区间涨跌幅52周前,"收盘价
[交易日期]最新(2020-07-21)
[复权方式]不复权","每股收益EPS(基本)
[报告期]最新一期
[单位]元","每股息税前利润
[报告期]最新一期
[单位]元","净资产收益率ROE(平均)
[报告期]最新一期
[单位]%","净资产收益率ROE(加权)
[报告期]最新一期
[单位]%","销售净利率
[报告期]最新一期
[单位]%","总资产报酬率ROA
[报告期]最新一期
[单位]%","销售毛利率
[报告期]最新一期
[单位]%","研发费用/营业总收入
[报告期]最新一期","投入资本回报率ROIC(TTM)
[交易日期]最新(2020-07-21)
[单位]%
[TTM基准日]报表公告日期","年化投入资本回报率ROIC
[报告期]最新一期
[单位]%","EBITDA/营业总收入
[报告期]最新一期
[单位]%","价值变动净收益/利润总额
[报告期]最新一期
[单位]%","经营活动产生的现金流量净额/营业收入
[报告期]最新一期
[单位]%","经营活动产生的现金流量净额/经营活动净收益
[报告期]最新一期
[单位]%","资产负债率
[报告期]最新一期
[单位]%","流动资产/总资产
[报告期]最新一期
[单位]%","非流动资产/总资产
[报告期]最新一期
[单位]%","流动比率
[报告期]最新一期","现金比率
[报告期]最新一期
[调整类型]调整前","速动比率
[报告期]最新一期","息税折旧摊销前利润/负债合计
[报告期]最新一期","存货周转天数
[报告期]最新一期
[单位]天","应收账款周转天数(含应收票据)
[报告期]最新一期
[单位]天","存货周转率
[报告期]最新一期
[单位]次","基本每股收益同比增长率
[报告期]最新一期
[单位]%","营业总收入同比增长率
[报告期]最新一期
[单位]%","收益质量风险
[报告期]最新一期"
000005.SZ,世纪星源,1990-12-10,-8.144961606,-11.4115482,-12.64934232,3.01,-0.0198,-0.016786448,-1.318147749,-1.36,-48.92025062,-0.610563971,31.52224516,16.05423051,8.864528365,-4.185030918,——,——,54.59835825,——,41.54951934,55.07674558,44.92325442,1.367932198,0.082134606,1.341383961,——,686.2940007,762.856866,0.131139133,-17.85714286,-45.4092863,——
600601.SH,方正科技,1990-12-19,11.72536967,11.28813598,16.25804886,4.28,-0.038,-0.012087795,-4.524047383,-4.52,-9.385840473,-0.266458433,17.64236907,7.407646676,-24.17506945,-6.829546131,——,——,9.794100812,——,81.75048132,53.83660729,46.16339271,0.736553986,0.126441199,0.397842183,——,274.6025449,142.930285,0.327746416,47.0013947,1.214376875,——
600602.SH,云赛智联,1990-12-19,-13.45338333,-21.23538477,-12.61742607,7.64,0.017,0.008398357,0.555821231,0.556,2.39421189,0.19387068,17.96897465,6.998143228,5.168310054,2.153176192,——,8.953290014,-26.26335367,-843.3546058,24.42816403,86.06116623,13.93883377,3.57019669,1.521303379,3.184447041,——,80.74314814,90.74284208,1.114645664,-43.33333333,-10.71456797,——
600653.SH,申华控股,1990-12-19,-18.93090571,-12.17338159,-26.84847652,1.94,-0.0207,0.008486548,-2.162034732,-2.162,-2.832365287,0.232804253,8.750134252,——,-5.995669459,-2.96440114,——,——,-12.5366369,——,65.34552822,55.92481696,44.07518304,1.246105019,0.207287351,0.79514637,——,128.8093623,47.55056754,0.698706976,-450.8474576,-35.87967631,——
000004.SZ,国农科技,1991-01-14,-15.1200853,19.81816342,36.2452155,29.65,0.0231,0.025612676,0.27396499,0.27,15.37555579,0.284499114,83.0720583,25.26619387,0.11157033,1.093030188,——,——,-163.1743224,-1002.088942,4.50208105,31.36613864,68.63386136,7.45967344,1.075992245,7.45967344,——,——,1007.349274,——,-63.73626374,-78.25861424,——
000002.SZ,万科A,1991-01-29,-11.03835795,-13.49840441,-24.96598602,28.01,0.111,0.579523716,0.663278562,0.66,5.086987515,0.377543542,31.27541368,0.191532453,8.48813934,1.099751618,——,2.434006349,-6.182946865,-62.71520262,84.24462891,83.33114742,16.66885258,1.145731133,0.136931927,0.429921688,——,2470.880005,4.431582301,0.03642427,8.823529412,-1.240914877,——
000001.SZ,平安银行,1991-04-03,-4.870998786,-19.18631443,-10.40935607,14.49,0.4,——,2.569521056,2.77,22.53862785,——,——,——,——,——,——,30.68990692,47.43184095,238.1072138,91.47314642,——,——,——,——,——,——,——,——,——,5.263157895,16.78162335,——
000009.SZ,中国宝安,1991-06-25,43.7053047,54.0992957,115.1919275,10.36,0.0156,0.116504672,0.724402206,0.72,7.07898371,0.994195564,36.16810613,4.605536792,1.569798671,0.916708775,——,49.37000694,7.119882556,173.7409284,64.39505792,65.82764351,34.17235649,1.473910081,0.385762497,0.775739875,——,811.4715496,120.196045,0.110909619,-39.0625,-27.61664576,——
600603.SH,广汇物流,1992-01-13,-32.24112771,-4.963728495,3.191927524,5.32,0.12,0.165248419,2.217808158,2.12,32.99748402,1.265768029,58.91251556,——,9.015403568,6.21477769,——,5.609031622,-66.83242794,-162.8354501,62.22760522,63.13435975,36.86564025,1.370643505,0.28838894,0.544170606,——,3137.414129,125.6363155,0.028686044,33.33333333,32.63344686,——
000012.SZ,南玻A,1992-02-28,18.75864825,17.42245674,32.19862096,6.11,0.04,0.061530131,1.164988693,1.16,6.45853393,0.994396621,29.46036594,4.209863416,3.000320813,2.759559134,——,——,-0.641694839,-8.208216891,50.71538515,33.52880825,66.47119175,1.095661321,0.62074333,0.900094953,——,74.46763803,49.5918298,1.208578684,0,-21.98907393,——
