指标名称,资金净流入额：A股,资金净流入额：主板,美元指数,GDP：当季值,GDP：当季同比,GDP增长贡献率：最终消费支出,GDP增长贡献率：资本形成总额,GDP增长贡献率：货物和服务净出口,全社会用电量：当月值,全社会用电量：当月同比,GDP：当季同比,工业增加值：当月同比,资产负债率,应收账款平均回收期,利润总额：累计同比,工业企业：利润总额：当月同比,固定资产投资完成额：累计同比,房地产开发投资完成额：开发计划总投资：累计同比,房地产开发投资完成额：开发新增固定资产：累计同比,房地产开发计划总投资：当月值,房地产开发新增固定资产投资：当月值,贸易顺差：当月值,贸易顺差：当月同比,财政预算收入：当月值,财政预算收入：当月同比,CPI：当月同比,PPI：全部工业品：当月同比,M2：同比,M2：环比,M2,PMI,宏观经济景气指数：预警指数,涨跌幅：上证综合指数,涨跌幅：沪深300指数
单位,元,元,1973年3月=100,亿元,%,%,%,%,亿千瓦时,%,%,%,%,天,%,%,%,%,%,万元,万元,千美元,%,亿元,%,%,%,%,%,亿元,%,,%,%
2008-12-31,,,81.17,88699,7.1,,,,2737.11,-9.78,7.1,5.7,,,,,26.1,,,75921500,53169400,38980036,71.82,3248.69,3.3,1.2,-1.14,17.82,3.6,475166.6,41.2,78.7,-0.66,-0.86
2009-01-01,,,80.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-02,,,81.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-05,,,82.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,3.59
2009-01-06,,,82.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.18
2009-01-07,,,82.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.68,-0.6
2009-01-08,,,81.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.38,-2.24
2009-01-09,,,82.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,1.61
2009-01-12,,,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,0.12
2009-01-13,,,84.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.95,-2.32
2009-01-14,,,84.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,4.21
2009-01-15,,,84.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,-0.02
2009-01-16,,,84.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,1.81
2009-01-19,,,85.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.12
2009-01-20,,,86.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.63
2009-01-21,,,85.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,-0.17
2009-01-22,,,85.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.13
2009-01-23,,,85.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,-0.58
2009-01-26,,,84.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-27,,,84.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-28,,,84.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-29,,,85.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-30,,,85.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,2511.64,-13.15,,,,,,,,,,,,39109336,100.92,6131.61,-17.1,0.95,-3.35,18.79,4.41,496135.31,45.3,74.7,,
2009-02-02,,,85.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.2
2009-02-03,,,84.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,2.52
2009-02-04,,,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.73
2009-02-05,,,86.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,-0.71
2009-02-06,,,85.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,4.01
2009-02-09,,,84.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.65
2009-02-10,,,85.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,1.31
2009-02-11,,,85.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,0.19
2009-02-12,,,86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.56,-0.55
2009-02-13,,,86.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,3.48
2009-02-16,,,86.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,2.63
2009-02-17,,,87.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.93,-3.13
2009-02-18,,,88.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.72,-4.59
