指标名称,美元指数,GDP：当季值,GDP：当季同比,GDP增长贡献率：最终消费支出,GDP增长贡献率：资本形成总额,GDP增长贡献率：货物和服务净出口,全社会用电量：当月值,全社会用电量：当月同比,GDP：当季同比,工业增加值：当月同比,资产负债率,应收账款平均回收期,利润总额：累计同比,工业企业：利润总额：当月同比,固定资产投资完成额：累计同比,房地产开发投资完成额：开发计划总投资：累计同比,房地产开发投资完成额：开发新增固定资产：累计同比,房地产开发计划总投资：当月值,房地产开发新增固定资产投资：当月值,贸易顺差：当月值,贸易顺差：当月同比,财政预算收入：当月值,财政预算收入：当月同比,CPI：当月同比,PPI：全部工业品：当月同比,M2：同比,M2：环比,M2,PMI,宏观经济景气指数：预警指数
单位,1973年3月=100,亿元,%,%,%,%,亿千瓦时,%,%,%,%,天,%,%,%,%,%,万元,万元,千美元,%,亿元,%,%,%,%,%,亿元,%,
1951/12/31,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,
1952/12/31,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,
1953/12/31,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,
1954/12/31,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,
1955/12/31,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,
1956/12/31,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,
1957/12/31,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,
1958/12/31,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,,,,,
1959/12/31,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,
1960/12/31,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,
1961/12/31,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,
1962/12/31,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,
1963/12/31,,,,,,,,,,,,,,,,,,,,,,,,-5.9,,,,,,
1964/12/31,,,,,,,,,,,,,,,,,,,,,,,,-3.7,,,,,,
1965/12/31,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,,,
1966/12/31,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,,,
1967/12/31,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,,,,
1968/12/31,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
1969/12/31,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1970/12/31,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
1971/1/4,120.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/5,120.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/6,120.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/7,120.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/8,120.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/11,120.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/12,120.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/13,120.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/14,120.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/15,120.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/18,120.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/19,120.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/20,120.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/21,120.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/22,120.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/25,120.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/26,120.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/27,120.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/28,120.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/1/29,120.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/1,120.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/2,120.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/3,120.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/4,120.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/5,120.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/8,120.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/9,120.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/10,120.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/11,120.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/16,120.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/17,120.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/18,120.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/19,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/22,120.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/23,120.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/24,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/25,120.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/2/26,120.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/1,120.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/2,120.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/3,120.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/4,120.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/5,120.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/8,120.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/9,120.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/10,120.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/11,120.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/12,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/15,120.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/16,120.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/17,120.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/18,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/19,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/22,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/23,120.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/24,120.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/25,120.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/26,120.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/29,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/30,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/3/31,120.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/1,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/2,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/5,120.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/6,120.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/7,120.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/8,120.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/12,120.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/13,120.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/14,120.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/15,120.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/16,120.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/19,120.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/20,120.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/21,120.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/22,120.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/23,120.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/26,120.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/27,120.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/28,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/29,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/4/30,120.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/5/3,120.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/5/4,120.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/5/5,119.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/5/6,119.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/5/7,119.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/5/10,119.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971/5/11,119.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
