指标名称,M2,M2：环比,M2：同比,上证指数收盘价,上证指数环比,上证指数同比
1995-12,58252,3.98,29.5,555.29,-13.39,-14.29
1996-01,58401,0.26,25.9,537.35,-3.23,-4.49
1996-02,63778,9.21,27.2,552.94,2.9,0.67
1996-03,64511,1.15,28.3,556.39,0.62,-13.99
1996-04,65723,1.88,28.5,681.16,22.42,17.46
1996-05,66880,1.76,28.4,643.65,-5.51,-8.12
1996-06,68132,1.87,28.2,804.25,24.95,27.54
1996-07,69346,1.78,27,822.48,2.27,18.25
1996-08,72309,4.27,27.5,809.94,-1.52,11.89
1996-09,69643,-3.69,27.8,875.52,8.1,21.19
1996-10,73152.2,5.04,26.4,976.71,11.56,36.16
1996-11,74142,1.35,25.1,1032.95,5.76,61.11
1996-12,76094.9,2.63,25.3,917.02,-11.22,65.14
1997-01,78648,3.36,24.8,964.74,5.2,79.54
1997-02,78998,0.45,21.7,1040.27,7.83,88.13
1997-03,79889,1.13,21.1,1234.62,18.68,121.9
1997-04,80818,1.16,20.6,1393.75,12.89,104.61
1997-05,81151,0.41,19.1,1285.18,-7.79,99.67
1997-06,82789,2.02,19.1,1250.27,-2.72,55.46
1997-07,83460,0.81,18.1,1189.76,-4.84,44.66
1997-08,84746,1.54,17.2,1221.06,2.63,50.76
1997-09,85892,1.35,17.1,1097.38,-10.13,25.34
1997-10,86644,0.88,16.4,1180.39,7.56,20.85
1997-11,87590,1.09,16.1,1139.63,-3.45,10.33
1997-12,90995.3,3.89,17.3,1194.1,4.78,30.22
1998-01,92211.4,1.34,17.25,1222.91,2.41,26.76
1998-02,92024,-0.2,16.49,1206.53,-1.34,15.98
1998-03,92015,-0.01,15.18,1243.02,3.02,0.68
1998-04,92662,0.7,14.66,1343.45,8.08,-3.61
1998-05,93936,1.37,15.75,1411.21,5.04,9.81
1998-06,94658,0.77,14.34,1339.2,-5.1,7.11
1998-07,96314,1.75,15.4,1316.92,-1.66,10.69
1998-08,97299,1.02,14.81,1150.22,-12.66,-5.8
1998-09,99795,2.57,16.19,1242.9,8.06,13.26
1998-10,100875.2,1.08,16.42,1217.32,-2.06,3.13
1998-11,102229,1.34,16.71,1247.42,2.47,9.46
1998-12,104498.5,2.22,14.8,1146.7,-8.07,-3.97
1999-01,105500,0.96,14.41,1134.67,-1.05,-7.22
1999-02,107778,2.16,17.12,1090.09,-3.93,-9.65
1999-03,108438,0.61,17.85,1158.05,6.24,-6.84
1999-04,109218,0.72,17.87,1120.93,-3.21,-16.56
1999-05,110061,0.77,17.17,1279.33,14.13,-9.35
1999-06,111363,1.18,17.65,1689.43,32.06,26.15
1999-07,111414,0.05,15.68,1601.46,-5.21,21.61
1999-08,112827,1.27,15.96,1627.12,1.6,41.46
1999-09,115079,2,15.32,1570.7,-3.47,26.37
1999-10,115390,0.27,14.39,1504.56,-4.21,23.6
1999-11,116559,1.01,14.02,1434.97,-4.63,15.04
1999-12,117638.1,0.93,14.7,1366.58,-4.77,19.18
2000-01,118907.8,1.08,14.89,1535,12.32,35.28
2000-02,119353.6,0.37,12.79,1714.58,11.7,57.29
2000-03,120399.58,0.88,13.04,1800.22,5,55.45
2000-04,121914.77,1.26,13.65,1836.32,2.01,63.82
2000-05,121902.65,-0.01,12.7,1894.55,3.17,48.09
2000-06,124486.78,2.12,13.69,1928.11,1.77,14.13
2000-07,124192.78,-0.24,13.38,2023.54,4.95,26.36
2000-08,125673.26,1.19,13.26,2021.2,-0.12,24.22
2000-09,128352.61,2.13,13.38,1910.16,-5.49,21.61
2000-10,127432.53,-0.72,12.25,1961.29,2.68,30.36
2000-11,128887.4,1.14,12.38,2070.61,5.57,44.3
2000-12,132487.52,2.79,12.27,2073.48,0.14,51.73
2001-01,135685.99,2.41,13.47,2065.61,-0.38,34.57
2001-02,134390.49,-0.95,12,1959.18,-5.15,14.27
2001-03,136915.12,1.88,13.2,2112.78,7.84,17.36
2001-04,138121.03,0.88,12.8,2119.18,0.3,15.4
2001-05,137219.27,-0.65,12.1,2214.26,4.49,16.87
2001-06,141885.6,3.4,14.3,2218.03,0.17,15.04
2001-07,140076.48,-1.28,13.52,1920.32,-13.42,-5.1
2001-08,143787.3,2.65,13.61,1834.14,-4.49,-9.25
2001-09,151822.6,5.59,16.36,1764.87,-3.78,-7.61
2001-10,146157.58,-3.73,12.9,1689.17,-4.29,-13.87
2001-11,154088.3,5.43,17.63,1747.99,3.48,-15.58
